"File","Illuminate","DB","Eloquent","Http","Total"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Services\ProcesosPedidoService.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Services\TransformadorCotizacionService.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Services\VariacionesPrendaProcessorService.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Services\VariacionesProcessorService.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Validators\PedidoJSONValidator.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\PedidosLogo\Repositories\DisenoLogoPedidoRepositoryInterface.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\PedidosLogo\Repositories\ProcesoPrendaDetalleReadRepositoryInterface.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Prendas\Repositories\TipoPrendaRepository.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\ProcesoSeguimiento\Repositories\ProcesoPrendaSeguimientoRepository.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Services\OrderFilteringService.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Shared\DomainEventDispatcher.php","1","0","0","0","1"
